Subject, Start Date, Start Time, Aim, Finished result 
anki, 2017-04-09, 09:00:00
verb advantages, 2017-04-09, 09:30:00
大数据和我们, 2017-04-09, 10:00:00
eating, 2017-04-09, 11:30:00
summary weekly, 2017-04-09, 13:00:00
python科学计算, 2017-04-09, 14:00:00
思考工作目标, 2017-04-09, 16:00:00
exercise, 2017-04-09, 17:00:00
eating, 2017-04-09, 17:30:00
英语口语, 2017-04-09, 19:00:00
think fast and slow, 2017-04-09, 20:00:00
hihocoder, 2017-04-09, 21:00:00
A4-to-onenote, 2017-04-09, 22:00:00
verb advantages, 2017-04-10, 09:00:00,1单元,0%
大数据和我们, 2017-04-10, 09:30:00,4ch,1ch
driving, 2017-04-10, 10:30:00,finish,100
eating, 2017-04-10, 11:30:00
训练英文文章要点提取, 2017-04-10, 13:00:00,4 articles,3 articles
os mooc, 2017-04-10, 13:30:00,1 lesson,100
回测系统设计, 2017-04-10, 15:30:00,run,100
exercise, 2017-04-10, 17:00:00,keep,change time to 22 and finish
eating, 2017-04-10, 17:30:00,晚饭
放松的时间, 2017-04-10, 19:00:00,dapenti,0%
think fast and slow, 2017-04-10, 19:30:00,part 3,finish
亲密关系, 2017-04-10, 20:30:00,part 1 and 2,0%
出国事项调研, 2017-04-10, 21:30:00,housing,0%
meeting, 2017-04-11, 09:00:00,meet other guy,100%
毕设算法研究, 2017-04-11, 10:30:00,meet wq,0%
eating, 2017-04-11, 11:30:00,eating
训练英文文章要点提取, 2017-04-11, 13:00:00,4 articles,100%
python科学计算, 2017-04-11, 14:00:00,panads,100%
回测系统设计, 2017-04-11, 15:00:00,指标理解,0%
毕设算法研究, 2017-04-11, 16:00:00,研究区别,0%
eating, 2017-04-11, 17:30:00,晚饭
think fast and slow, 2017-04-11, 19:00:00,输入电脑,100%
亲密关系, 2017-04-11, 20:30:00,part 1,0%
A4-to-onenote, 2017-04-11, 21:30:00,输入电脑 to anki,50%
verb advantages, 2017-04-12, 09:00:00
回测系统设计, 2017-04-12, 09:30:00
毕设算法研究, 2017-04-12, 10:30:00
eating, 2017-04-12, 11:30:00
训练英文文章要点提取, 2017-04-12, 13:00:00
毕设算法研究, 2017-04-12, 14:00:00
exercise, 2017-04-12, 16:30:00
eating, 2017-04-12, 17:00:00
英语口语, 2017-04-12, 19:00:00
亲密关系, 2017-04-12, 20:00:00
大数据和我们, 2017-04-12, 21:00:00
A4-to-onenote, 2017-04-12, 22:00:00
回测系统设计, 2017-04-13, 09:00:00
driving, 2017-04-13, 10:30:00
eating, 2017-04-13, 11:30:00
训练英文文章要点提取, 2017-04-13, 13:00:00
os mooc, 2017-04-13, 14:00:00
hihocoder, 2017-04-13, 15:30:00
eating, 2017-04-13, 17:00:00
英语口语, 2017-04-13, 19:00:00
think fast and slow, 2017-04-13, 20:00:00
亲密关系, 2017-04-13, 21:30:00
A4-to-onenote, 2017-04-13, 22:00:00
大数据和我们总结, 2017-04-15, 09:00:00
出国事项调研, 2017-04-15, 10:00:00
chating, 2017-04-15, 13:00:00
mytimeproject, 2017-04-15, 15:00:00
exercise, 2017-04-15, 17:00:00
shower, 2017-04-15, 17:30:00
毕设算法研究, 2017-04-15, 19:00:00
专注力, 2017-04-15, 20:30:00
A4-to-onenote, 2017-04-15, 22:00:00
