type	detail_type	duration
life	driving	1.5
life	eating	5.0
life	english	4.0
life	health	2.5
life	notebook	1.5
life	programming	3.5
life	reading	4.0
life	relax	0.5
life	summary	6.0
study	english	3.0
study	graduate	3.5
study	mooc	4.5
study	school	9.5
work	job	3.0
