type	detail_type	duration
life	eating	4.0
life	english	3.5
life	finance	1.0
life	health	2.5
life	notebook	2.0
life	programming	1.5
life	reading	6.5
life	relax	0.5
life	summary	3.5
life	transport	0.5
life	travel	0.5
study	abroad	2.0
study	anki	2.0
study	english	5.0
study	graduate	2.5
study	mooc	5.0
study	school	3.5
study	summary	1.0
work	graduate	1.5
work	programming	4.5
