type,detail_type,duration
life,cooking,1.0
life,driving,1.0
life,eating,10.0
life,english,6.0
life,health,2.0
life,love,3.5
life,notebook,4.5
life,programming,1.5
life,reading,9.5
life,shopping,1.5
life,summary,1.0
life,transport,3.0
life,travel,4.0
study,abroad,1.5
study,anki,1.0
study,english,3.0
study,graduate,43.0
study,programming,1.0
study,school,1.0
work,job,2.0
