type,detail_type,duration
life,driving,1.0
life,eating,6.5
life,english,1.0
life,finance,1.0
life,fun,2.0
life,health,2.0
life,notebook,5.5
life,programming,2.5
life,reading,9.5
life,relax,3.5
life,summary,4.5
life,thinking,1.0
life,transport,1.5
study,abroad,6.0
study,cmu,1.5
study,english,3.0
study,graduate,2.0
study,mooc,2.5
work,programming,3.5
