type	detail_type	duration
life	eating	5.5
life	english	4.0
life	health	3.5
life	reading	7.5
life	relax	1.5
life	summary	2.5
life	transport	0.5
study	abroad	2.0
study	english	5.0
study	graduate	9.0
study	mooc	4.0
study	programming	1.0
study	reading	1.0
study	school	3.0
study	summary	1.0
work	job	5.5
work	programming	1.5
