type,detail_type,duration
life,cooking,0.5
life,eating,5.5
life,english,3.0
life,fun,2.5
life,health,2.0
life,love,3.5
life,notebook,1.0
life,online,1.0
life,programming,14.0
life,reading,2.5
life,relax,3.5
life,transport,1.5
study,anki,0.5
study,graduate,11.5
work,programming,1.5
