type,detail_type,duration
life,driving,1.0
life,eating,8.5
life,english,5.0
life,fun,2.5
life,health,2.5
life,notebook,4.0
life,online,1.0
life,programming,5.5
life,reading,7.0
life,summary,1.5
life,transport,2.0
study,abroad,3.5
study,graduate,20.0
work,programming,1.5
