type,detail_type,duration
life,eating,5.5
life,english,1.0
life,health,1.5
life,notebook,2.0
life,reading,3.5
life,transport,2.0
life,travel,25.5
study,abroad,1.5
study,anki,1.5
study,english,1.0
study,graduate,17.5
study,school,2.0
