type,detail_type,duration
life,cooking,0.5
life,eating,5.0
life,english,3.0
life,health,2.0
life,notebook,1.0
life,programming,1.5
life,reading,8.0
life,summary,2.5
life,transport,1.5
study,abroad,5.0
study,anki,1.0
study,graduate,8.0
study,mooc,3.0
study,programming,2.0
study,web,1.5
work,job,0.5
work,programming,1.5
