type,detail_type,duration
life,eating,2.5
life,english,1.0
life,fun,4.0
life,health,1.5
life,love,1.0
life,notebook,5.0
life,online,0.5
life,relax,1.5
life,summary,8.0
life,transport,2.0
study,abroad,1.0
study,school,1.5
work,programming,2.5
