type,detail_type,duration
life,eating,2.0
life,english,1.0
life,fun,1.5
life,health,1.5
life,love,2.5
life,notebook,3.0
life,reading,12.0
life,thinking,1.0
study,abroad,3.0
study,anki,1.0
study,english,5.5
study,graduate,1.5
study,mooc,1.5
study,school,0.5
work,job,2.5
work,programming,2.0
