Subject, Start Date, Start Time, End Date, End Time
thinking , 2017-07-19, 09:00:00, 2017-07-19, 09:30:00
cmu就业指导 , 2017-07-19, 09:30:00, 2017-07-19, 10:30:00
出国事务 留学表格, 2017-07-19, 10:30:00, 2017-07-19, 12:00:00
陪亲爱的 , 2017-07-19, 13:00:00, 2017-07-19, 14:00:00
出国行李 , 2017-07-19, 14:00:00, 2017-07-19, 15:30:00
清理笔记本 , 2017-07-19, 15:30:00, 2017-07-19, 17:00:00
exercise , 2017-07-19, 17:00:00, 2017-07-19, 17:30:00
eating , 2017-07-19, 17:30:00, 2017-07-19, 18:00:00
英语口语 , 2017-07-19, 19:00:00, 2017-07-19, 19:30:00
关键对话 , 2017-07-19, 19:30:00, 2017-07-19, 20:30:00
csapp , 2017-07-19, 20:30:00, 2017-07-19, 21:30:00
清理wechat收藏内容 , 2017-07-19, 21:30:00, 2017-07-19, 23:00:00
