Subject, Start Date, Start Time, End Date, End Time
出国事务 , 2017-07-26, 09:00:00, 2017-07-26, 11:00:00
cooking , 2017-07-26, 11:00:00, 2017-07-26, 12:00:00
训练英文文章要点提取 , 2017-07-26, 13:00:00, 2017-07-26, 14:00:00
出国行李 , 2017-07-26, 14:00:00, 2017-07-26, 15:30:00
csapp , 2017-07-26, 15:30:00, 2017-07-26, 17:00:00
exercise , 2017-07-26, 17:00:00, 2017-07-26, 18:00:00
英语口语 , 2017-07-26, 19:00:00, 2017-07-26, 20:00:00
关键对话 , 2017-07-26, 20:00:00, 2017-07-26, 21:00:00
清理笔记本 , 2017-07-26, 21:00:00, 2017-07-26, 23:00:00
