Subject, Start Date, Start Time, End Date, End Time
出国事务 , 2017-07-27, 09:00:00, 2017-07-27, 10:00:00
summary weekly , 2017-07-27, 10:00:00, 2017-07-27, 10:30:00
cooking , 2017-07-27, 10:30:00, 2017-07-27, 11:30:00
eating , 2017-07-27, 11:30:00, 2017-07-27, 12:00:00
训练英文文章要点提取 , 2017-07-27, 13:00:00, 2017-07-27, 14:00:00
出国事务 , 2017-07-27, 14:00:00, 2017-07-27, 15:30:00
整理 , 2017-07-27, 15:30:00, 2017-07-27, 17:00:00
exercise , 2017-07-27, 17:00:00, 2017-07-27, 17:30:00
shower , 2017-07-27, 17:30:00, 2017-07-27, 18:00:00
算法 , 2017-07-27, 19:00:00, 2017-07-27, 21:00:00
A4-to-onenote , 2017-07-27, 21:00:00, 2017-07-27, 23:00:00
